1 3 1 5.131746e+01  
1 4 1 NaN  
1 3 2 5.695556e+01  
1 4 2 NaN  
1 3 3 4.538298e+01  
1 4 3 4.735354e+01  
1 3 4 3.446667e+01  
1 4 4 3.363366e+01  
2 3 1 4.524490e+01  
2 4 1 NaN  
2 3 2 6.090385e+01  
2 4 2 NaN  
2 3 3 4.884000e+01  
2 4 3 5.041667e+01  
2 3 4 5.828571e+01  
2 4 4 4.916346e+01  
3 3 1 6.216393e+01  
3 4 1 NaN  
3 3 2 6.104545e+01  
3 4 2 NaN  
3 3 3 6.046429e+01  
3 4 3 5.962376e+01  
3 3 4 5.364103e+01  
3 4 4 3.676768e+01  
4 3 1 5.058696e+01  
4 4 1 NaN  
4 3 2 3.553846e+01  
4 4 2 NaN  
4 3 3 4.452000e+01  
4 4 3 5.045631e+01  
4 3 4 3.273077e+01  
4 4 4 3.809278e+01  
5 3 1 5.119048e+01  
5 4 1 NaN  
5 3 2 7.861364e+01  
5 4 2 NaN  
5 3 3 6.298333e+01  
5 4 3 6.151786e+01  
5 3 4 3.737037e+01  
5 4 4 3.907955e+01  
6 3 1 5.419231e+01  
6 4 1 NaN  
6 3 2 5.407843e+01  
6 4 2 NaN  
6 3 3 5.313208e+01  
6 4 3 5.160870e+01  
6 3 4 4.206818e+01  
6 4 4 3.683333e+01  
7 3 1 5.753061e+01  
7 4 1 NaN  
7 3 2 3.532653e+01  
7 4 2 NaN  
7 3 3 5.982353e+01  
7 4 3 5.705556e+01  
7 3 4 2.913725e+01  
7 4 4 4.485870e+01  
8 3 1 4.277419e+01  
8 4 1 NaN  
8 3 2 5.311111e+01  
8 4 2 NaN  
8 3 3 5.066000e+01  
8 4 3 5.134906e+01  
8 3 4 5.297674e+01  
8 4 4 5.076596e+01  
9 3 1 6.856250e+01  
9 4 1 NaN  
9 3 2 7.288889e+01  
9 4 2 NaN  
9 3 3 7.012766e+01  
9 4 3 5.688350e+01  
9 3 4 3.421569e+01  
9 4 4 4.527835e+01  
10 3 1 5.159574e+01  
10 4 1 NaN  
10 3 2 4.596078e+01  
10 4 2 NaN  
10 3 3 4.870175e+01  
10 4 3 4.838776e+01  
10 3 4 5.173333e+01  
10 4 4 3.597059e+01  
11 3 1 4.018182e+01  
11 4 1 NaN  
11 3 2 59  
11 4 2 NaN  
11 3 3 7.564815e+01  
11 4 3 6.129032e+01  
11 3 4 4.680392e+01  
11 4 4 4.222430e+01  
12 3 1 6.997959e+01  
12 4 1 NaN  
12 3 2 5.658491e+01  
12 4 2 NaN  
12 3 3 6.410638e+01  
12 4 3 5.345192e+01  
12 3 4 4.413725e+01  
12 4 4 3.655208e+01  
13 3 1 5.278689e+01  
13 4 1 NaN  
13 3 2 6.136735e+01  
13 4 2 NaN  
13 3 3 4.225455e+01  
13 4 3 4.378505e+01  
13 3 4 3.662857e+01  
13 4 4 4.289247e+01  
14 3 1 3.965455e+01  
14 4 1 NaN  
14 3 2 6.836842e+01  
14 4 2 NaN  
14 3 3 5.685965e+01  
14 4 3 5.248980e+01  
14 3 4 5.842000e+01  
14 4 4 3.757843e+01  
15 3 1 4.264912e+01  
15 4 1 NaN  
15 3 2 4.740816e+01  
15 4 2 NaN  
15 3 3 5.682222e+01  
15 4 3 4.276000e+01  
15 3 4 4.818367e+01  
15 4 4 4.388000e+01  
16 3 1 3.376000e+01  
16 4 1 NaN  
16 3 2 4.840000e+01  
16 4 2 NaN  
16 3 3 3.890909e+01  
16 4 3 4.216092e+01  
16 3 4 4.069565e+01  
16 4 4 4.028319e+01  
17 3 1 3.747619e+01  
17 4 1 NaN  
17 3 2 5.113433e+01  
17 4 2 NaN  
17 3 3 5.855319e+01  
17 4 3 4.914433e+01  
17 3 4 4.327273e+01  
17 4 4 3.678641e+01  
